feature,mean_missing_rate,std_missing_rate,min_missing_rate,max_missing_rate,range_missing_rate,num_cameras_all_present,num_cameras_all_missing,num_cameras_observed
VisI,0.18027719383070223,0.2475502151389061,0.0,1.0,1.0,11,3,53
VisM,0.18027719383070223,0.2475502151389061,0.0,1.0,1.0,11,3,53
PressureI,0.04689868479506185,0.19251422149544792,0.0,1.0,1.0,36,2,53
PressureM,0.04689868479506185,0.19251422149544792,0.0,1.0,1.0,36,2,53
Conds,0.0388575267497964,0.1444983450946193,0.0,1.0,1.0,31,1,53
Icon,0.0388575267497964,0.1444983450946193,0.0,1.0,1.0,31,1,53
HeatIndexI,0.9355105321334517,0.0969313544485339,0.5542857142857143,1.0,0.44571428571428573,0,11,53
HeatIndexM,0.9355105321334517,0.0969313544485339,0.5542857142857143,1.0,0.44571428571428573,0,11,53
WgustI,0.9421222775068485,0.06051959599491492,0.7391304347826086,1.0,0.26086956521739135,0,1,53
WgustM,0.9421222775068485,0.06051959599491492,0.7391304347826086,1.0,0.26086956521739135,0,1,53
PrecipI,0.9691515539900946,0.053436398519142586,0.775,1.0,0.22499999999999998,0,33,53
PrecipM,0.9691515539900946,0.053436398519142586,0.775,1.0,0.22499999999999998,0,33,53
WspdI,0.003602622240403477,0.017707000404232554,0.0,0.12786885245901639,0.12786885245901639,34,0,53
WspdM,0.003602622240403477,0.017707000404232554,0.0,0.12786885245901639,0.12786885245901639,34,0,53
WDirD,0.002210973330533212,0.00437189217739604,0.0,0.021310181531176007,0.021310181531176007,33,0,53
WDirE,0.002210973330533212,0.00437189217739604,0.0,0.021310181531176007,0.021310181531176007,33,0,53
DewPtI,0.0005719114828193554,0.0017557257210108796,0.0,0.011634349030470914,0.011634349030470914,39,0,53
DewPtM,0.0005719114828193554,0.0017557257210108796,0.0,0.011634349030470914,0.011634349030470914,39,0,53
Hum,0.0005719114828193554,0.0017557257210108796,0.0,0.011634349030470914,0.011634349030470914,39,0,53
autumn,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
beautiful,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
boring,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
bright,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
busy,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
clouds,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
cluttered,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
cold,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
colorful,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
dark,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
dawndusk,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
daylight,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
dirty,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
dry,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
dull,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
exciting,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
flowers,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
fog,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
gloomy,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
glowing,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
ice,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
lush,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
midday,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
moist,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
mysterious,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
night,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
rain,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
rugged,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
sentimental,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
snow,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
soothing,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
spring,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
storm,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
stressful,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
summer,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
sunny,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
sunrisesunset,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
warm,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
windy,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
winter,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
Date,0.0,0.0,0.0,0.0,0.0,53,0,53
Day,0.0,0.0,0.0,0.0,0.0,53,0,53
Filename,0.0,0.0,0.0,0.0,0.0,53,0,53
Fog,0.0,0.0,0.0,0.0,0.0,53,0,53
Hail,0.0,0.0,0.0,0.0,0.0,53,0,53
Hour,0.0,0.0,0.0,0.0,0.0,53,0,53
Latitude,0.0,0.0,0.0,0.0,0.0,53,0,53
Longitude,0.0,0.0,0.0,0.0,0.0,53,0,53
Metar,0.0,0.0,0.0,0.0,0.0,53,0,53
Min,0.0,0.0,0.0,0.0,0.0,53,0,53
Month,0.0,0.0,0.0,0.0,0.0,53,0,53
Rain,0.0,0.0,0.0,0.0,0.0,53,0,53
Snow,0.0,0.0,0.0,0.0,0.0,53,0,53
TempI,0.0,0.0,0.0,0.0,0.0,53,0,53
TempM,0.0,0.0,0.0,0.0,0.0,53,0,53
Thunder,0.0,0.0,0.0,0.0,0.0,53,0,53
Timezone,0.0,0.0,0.0,0.0,0.0,53,0,53
Tornado,0.0,0.0,0.0,0.0,0.0,53,0,53
WindChillI,0.0,0.0,0.0,0.0,0.0,53,0,53
WindChillM,0.0,0.0,0.0,0.0,0.0,53,0,53
Year,0.0,0.0,0.0,0.0,0.0,53,0,53
hoiem_Accuracy,0.0,0.0,0.0,0.0,0.0,53,0,53
hoiem_MCR,0.0,0.0,0.0,0.0,0.0,53,0,53
svetlana2010_Accuracy,0.0,0.0,0.0,0.0,0.0,53,0,53
svetlana2010_MCR,0.0,0.0,0.0,0.0,0.0,53,0,53
tcwc_Accuracy,0.0,0.0,0.0,0.0,0.0,53,0,53
tcwc_MCR,0.0,0.0,0.0,0.0,0.0,53,0,53
